Text,Sentiment
Self-driving cars are the future of transportation.,Positive
Self-driving cars are the future of transportation.,Neutral
The ethics of self-driving cars are still debatable.,Neutral
I'm excited about the potential of self-driving cars.,Negative
Self-driving technology is evolving rapidly.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
The regulation of autonomous vehicles is a complex issue.,Positive
Self-driving cars are the future of transportation.,Neutral
Self-driving cars are the future of transportation.,Negative
Self-driving technology is evolving rapidly.,Negative
Self-driving technology is evolving rapidly.,Negative
I'm excited about the potential of self-driving cars.,Positive
Self-driving cars are the future of transportation.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
Autonomous vehicles could reduce traffic accidents.,Negative
Self-driving cars are the future of transportation.,Positive
Self-driving technology is evolving rapidly.,Neutral
Self-driving technology is evolving rapidly.,Positive
The latest self-driving car model has impressive features.,Neutral
Self-driving cars are the future of transportation.,Neutral
I'm concerned about the safety of autonomous vehicles.,Positive
Self-driving cars are the future of transportation.,Neutral
Autonomous vehicles could reduce traffic accidents.,Positive
Autonomous vehicles could reduce traffic accidents.,Negative
Autonomous vehicles could reduce traffic accidents.,Positive
There are still many challenges to overcome with autonomous vehicles.,Neutral
Self-driving technology is evolving rapidly.,Neutral
I don't trust self-driving technology yet.,Negative
The regulation of autonomous vehicles is a complex issue.,Neutral
The latest self-driving car model has impressive features.,Positive
Self-driving technology is evolving rapidly.,Negative
Autonomous vehicles could reduce traffic accidents.,Neutral
I'm excited about the potential of self-driving cars.,Negative
The regulation of autonomous vehicles is a complex issue.,Positive
Self-driving cars are the future of transportation.,Positive
I don't trust self-driving technology yet.,Neutral
Autonomous vehicles could reduce traffic accidents.,Negative
I don't trust self-driving technology yet.,Positive
Self-driving technology is evolving rapidly.,Negative
There are still many challenges to overcome with autonomous vehicles.,Negative
There are still many challenges to overcome with autonomous vehicles.,Positive
I don't trust self-driving technology yet.,Positive
I'm excited about the potential of self-driving cars.,Positive
I'm concerned about the safety of autonomous vehicles.,Neutral
Self-driving cars are the future of transportation.,Positive
The ethics of self-driving cars are still debatable.,Neutral
The ethics of self-driving cars are still debatable.,Negative
Self-driving cars are the future of transportation.,Positive
The latest self-driving car model has impressive features.,Positive
There are still many challenges to overcome with autonomous vehicles.,Positive
I'm concerned about the safety of autonomous vehicles.,Negative
The latest self-driving car model has impressive features.,Neutral
Self-driving cars are the future of transportation.,Positive
I'm excited about the potential of self-driving cars.,Negative
The regulation of autonomous vehicles is a complex issue.,Positive
Autonomous vehicles could reduce traffic accidents.,Negative
The latest self-driving car model has impressive features.,Negative
Self-driving cars are the future of transportation.,Positive
There are still many challenges to overcome with autonomous vehicles.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
The ethics of self-driving cars are still debatable.,Neutral
The ethics of self-driving cars are still debatable.,Negative
I don't trust self-driving technology yet.,Negative
