Text,Sentiment
I'm excited about the potential of self-driving cars.,Positive
The ethics of self-driving cars are still debatable.,Negative
Autonomous vehicles could reduce traffic accidents.,Negative
I don't trust self-driving technology yet.,Negative
Self-driving technology is evolving rapidly.,Positive
Self-driving technology is evolving rapidly.,Neutral
Self-driving cars are the future of transportation.,Negative
Autonomous vehicles could reduce traffic accidents.,Negative
Autonomous vehicles could reduce traffic accidents.,Neutral
The ethics of self-driving cars are still debatable.,Negative
I'm excited about the potential of self-driving cars.,Neutral
The ethics of self-driving cars are still debatable.,Negative
Autonomous vehicles could reduce traffic accidents.,Positive
Autonomous vehicles could reduce traffic accidents.,Neutral
The latest self-driving car model has impressive features.,Negative
Self-driving cars are the future of transportation.,Negative
There are still many challenges to overcome with autonomous vehicles.,Negative
Self-driving cars are the future of transportation.,Neutral
The latest self-driving car model has impressive features.,Negative
I'm concerned about the safety of autonomous vehicles.,Negative
Autonomous vehicles could reduce traffic accidents.,Negative
I don't trust self-driving technology yet.,Neutral
I'm concerned about the safety of autonomous vehicles.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
I'm concerned about the safety of autonomous vehicles.,Neutral
Autonomous vehicles could reduce traffic accidents.,Negative
I don't trust self-driving technology yet.,Negative
I don't trust self-driving technology yet.,Neutral
The regulation of autonomous vehicles is a complex issue.,Negative
Self-driving cars are the future of transportation.,Positive
Self-driving technology is evolving rapidly.,Positive
I'm concerned about the safety of autonomous vehicles.,Positive
I'm excited about the potential of self-driving cars.,Negative
There are still many challenges to overcome with autonomous vehicles.,Positive
The latest self-driving car model has impressive features.,Positive
The regulation of autonomous vehicles is a complex issue.,Negative
There are still many challenges to overcome with autonomous vehicles.,Positive
Self-driving technology is evolving rapidly.,Negative
Autonomous vehicles could reduce traffic accidents.,Negative
The ethics of self-driving cars are still debatable.,Negative
The latest self-driving car model has impressive features.,Neutral
I'm concerned about the safety of autonomous vehicles.,Negative
Self-driving cars are the future of transportation.,Neutral
I'm concerned about the safety of autonomous vehicles.,Positive
The latest self-driving car model has impressive features.,Negative
The ethics of self-driving cars are still debatable.,Positive
Self-driving technology is evolving rapidly.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
Autonomous vehicles could reduce traffic accidents.,Positive
Autonomous vehicles could reduce traffic accidents.,Neutral
I'm concerned about the safety of autonomous vehicles.,Positive
I'm excited about the potential of self-driving cars.,Neutral
I'm concerned about the safety of autonomous vehicles.,Negative
Self-driving cars are the future of transportation.,Neutral
I don't trust self-driving technology yet.,Positive
I don't trust self-driving technology yet.,Negative
Self-driving technology is evolving rapidly.,Positive
Self-driving cars are the future of transportation.,Neutral
I'm excited about the potential of self-driving cars.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
Self-driving technology is evolving rapidly.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
Self-driving cars are the future of transportation.,Positive
I'm excited about the potential of self-driving cars.,Negative
I'm concerned about the safety of autonomous vehicles.,Positive
The ethics of self-driving cars are still debatable.,Neutral
The regulation of autonomous vehicles is a complex issue.,Negative
Autonomous vehicles could reduce traffic accidents.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
I don't trust self-driving technology yet.,Positive
Self-driving technology is evolving rapidly.,Neutral
I'm concerned about the safety of autonomous vehicles.,Negative
I don't trust self-driving technology yet.,Positive
The ethics of self-driving cars are still debatable.,Negative
The latest self-driving car model has impressive features.,Neutral
The latest self-driving car model has impressive features.,Positive
The regulation of autonomous vehicles is a complex issue.,Neutral
Self-driving technology is evolving rapidly.,Negative
There are still many challenges to overcome with autonomous vehicles.,Positive
The regulation of autonomous vehicles is a complex issue.,Negative
Self-driving technology is evolving rapidly.,Positive
The latest self-driving car model has impressive features.,Negative
Self-driving cars are the future of transportation.,Neutral
I don't trust self-driving technology yet.,Negative
Self-driving technology is evolving rapidly.,Positive
Autonomous vehicles could reduce traffic accidents.,Negative
The latest self-driving car model has impressive features.,Neutral
The regulation of autonomous vehicles is a complex issue.,Negative
I'm concerned about the safety of autonomous vehicles.,Positive
The latest self-driving car model has impressive features.,Positive
I'm excited about the potential of self-driving cars.,Negative
The regulation of autonomous vehicles is a complex issue.,Positive
I don't trust self-driving technology yet.,Neutral
Autonomous vehicles could reduce traffic accidents.,Positive
I don't trust self-driving technology yet.,Neutral
Self-driving technology is evolving rapidly.,Neutral
The ethics of self-driving cars are still debatable.,Positive
I'm excited about the potential of self-driving cars.,Positive
I'm excited about the potential of self-driving cars.,Neutral
The latest self-driving car model has impressive features.,Negative
The ethics of self-driving cars are still debatable.,Positive
I don't trust self-driving technology yet.,Positive
The ethics of self-driving cars are still debatable.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
Self-driving technology is evolving rapidly.,Negative
The ethics of self-driving cars are still debatable.,Negative
I'm excited about the potential of self-driving cars.,Neutral
The regulation of autonomous vehicles is a complex issue.,Negative
The regulation of autonomous vehicles is a complex issue.,Positive
The regulation of autonomous vehicles is a complex issue.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
Self-driving cars are the future of transportation.,Negative
The regulation of autonomous vehicles is a complex issue.,Neutral
Self-driving cars are the future of transportation.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
Autonomous vehicles could reduce traffic accidents.,Positive
I don't trust self-driving technology yet.,Positive
There are still many challenges to overcome with autonomous vehicles.,Negative
Self-driving cars are the future of transportation.,Neutral
Self-driving technology is evolving rapidly.,Positive
There are still many challenges to overcome with autonomous vehicles.,Positive
Self-driving cars are the future of transportation.,Negative
I'm excited about the potential of self-driving cars.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
The latest self-driving car model has impressive features.,Positive
The ethics of self-driving cars are still debatable.,Positive
There are still many challenges to overcome with autonomous vehicles.,Negative
The regulation of autonomous vehicles is a complex issue.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Positive
I'm excited about the potential of self-driving cars.,Negative
I don't trust self-driving technology yet.,Positive
I don't trust self-driving technology yet.,Positive
Self-driving technology is evolving rapidly.,Negative
The regulation of autonomous vehicles is a complex issue.,Neutral
I don't trust self-driving technology yet.,Negative
I'm excited about the potential of self-driving cars.,Positive
Self-driving technology is evolving rapidly.,Negative
Self-driving technology is evolving rapidly.,Positive
I don't trust self-driving technology yet.,Positive
The ethics of self-driving cars are still debatable.,Neutral
Self-driving cars are the future of transportation.,Negative
Autonomous vehicles could reduce traffic accidents.,Negative
Self-driving cars are the future of transportation.,Negative
The regulation of autonomous vehicles is a complex issue.,Negative
The ethics of self-driving cars are still debatable.,Negative
I'm excited about the potential of self-driving cars.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
The regulation of autonomous vehicles is a complex issue.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
Self-driving cars are the future of transportation.,Positive
The ethics of self-driving cars are still debatable.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
The regulation of autonomous vehicles is a complex issue.,Positive
I'm excited about the potential of self-driving cars.,Positive
I'm concerned about the safety of autonomous vehicles.,Negative
The latest self-driving car model has impressive features.,Neutral
The regulation of autonomous vehicles is a complex issue.,Neutral
The latest self-driving car model has impressive features.,Negative
I'm excited about the potential of self-driving cars.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
Autonomous vehicles could reduce traffic accidents.,Positive
The ethics of self-driving cars are still debatable.,Positive
I don't trust self-driving technology yet.,Negative
Self-driving cars are the future of transportation.,Positive
Self-driving cars are the future of transportation.,Positive
Self-driving cars are the future of transportation.,Negative
Self-driving technology is evolving rapidly.,Neutral
The regulation of autonomous vehicles is a complex issue.,Negative
I don't trust self-driving technology yet.,Negative
The latest self-driving car model has impressive features.,Positive
I don't trust self-driving technology yet.,Neutral
I don't trust self-driving technology yet.,Neutral
I'm excited about the potential of self-driving cars.,Neutral
Self-driving technology is evolving rapidly.,Negative
Self-driving technology is evolving rapidly.,Neutral
I'm excited about the potential of self-driving cars.,Negative
I'm concerned about the safety of autonomous vehicles.,Negative
The latest self-driving car model has impressive features.,Positive
The ethics of self-driving cars are still debatable.,Neutral
The regulation of autonomous vehicles is a complex issue.,Positive
I don't trust self-driving technology yet.,Positive
I'm concerned about the safety of autonomous vehicles.,Negative
The ethics of self-driving cars are still debatable.,Neutral
The regulation of autonomous vehicles is a complex issue.,Neutral
I'm concerned about the safety of autonomous vehicles.,Negative
I'm excited about the potential of self-driving cars.,Neutral
The ethics of self-driving cars are still debatable.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
I'm excited about the potential of self-driving cars.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
Self-driving technology is evolving rapidly.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
I'm excited about the potential of self-driving cars.,Positive
The latest self-driving car model has impressive features.,Neutral
The regulation of autonomous vehicles is a complex issue.,Neutral
The regulation of autonomous vehicles is a complex issue.,Neutral
I'm excited about the potential of self-driving cars.,Positive
The latest self-driving car model has impressive features.,Neutral
Self-driving technology is evolving rapidly.,Positive
I don't trust self-driving technology yet.,Positive
There are still many challenges to overcome with autonomous vehicles.,Negative
There are still many challenges to overcome with autonomous vehicles.,Positive
The ethics of self-driving cars are still debatable.,Negative
I don't trust self-driving technology yet.,Negative
The latest self-driving car model has impressive features.,Negative
There are still many challenges to overcome with autonomous vehicles.,Positive
Self-driving technology is evolving rapidly.,Neutral
The latest self-driving car model has impressive features.,Negative
The regulation of autonomous vehicles is a complex issue.,Neutral
Self-driving technology is evolving rapidly.,Negative
I'm excited about the potential of self-driving cars.,Neutral
The ethics of self-driving cars are still debatable.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
I don't trust self-driving technology yet.,Neutral
The regulation of autonomous vehicles is a complex issue.,Positive
I'm excited about the potential of self-driving cars.,Negative
There are still many challenges to overcome with autonomous vehicles.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
I'm concerned about the safety of autonomous vehicles.,Negative
The latest self-driving car model has impressive features.,Neutral
The latest self-driving car model has impressive features.,Positive
There are still many challenges to overcome with autonomous vehicles.,Neutral
I'm excited about the potential of self-driving cars.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
I'm excited about the potential of self-driving cars.,Positive
Self-driving technology is evolving rapidly.,Neutral
I'm excited about the potential of self-driving cars.,Neutral
Self-driving technology is evolving rapidly.,Negative
Autonomous vehicles could reduce traffic accidents.,Neutral
I'm excited about the potential of self-driving cars.,Positive
There are still many challenges to overcome with autonomous vehicles.,Negative
I'm excited about the potential of self-driving cars.,Negative
The regulation of autonomous vehicles is a complex issue.,Positive
Self-driving cars are the future of transportation.,Neutral
The ethics of self-driving cars are still debatable.,Neutral
I don't trust self-driving technology yet.,Neutral
Autonomous vehicles could reduce traffic accidents.,Positive
The regulation of autonomous vehicles is a complex issue.,Positive
I don't trust self-driving technology yet.,Negative
I don't trust self-driving technology yet.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
I'm concerned about the safety of autonomous vehicles.,Neutral
Self-driving technology is evolving rapidly.,Neutral
I don't trust self-driving technology yet.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Positive
The ethics of self-driving cars are still debatable.,Positive
Autonomous vehicles could reduce traffic accidents.,Positive
I don't trust self-driving technology yet.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Neutral
The regulation of autonomous vehicles is a complex issue.,Positive
The latest self-driving car model has impressive features.,Positive
The regulation of autonomous vehicles is a complex issue.,Neutral
Self-driving technology is evolving rapidly.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
Autonomous vehicles could reduce traffic accidents.,Neutral
There are still many challenges to overcome with autonomous vehicles.,Negative
I don't trust self-driving technology yet.,Negative
